team-away,team-home,score-away,score-home
Steelers,Patriots,21,28
Packers,Bears,31,23
Seahawks,Rams,31,34
Panthers,Jaguars,20,9
Dolphins,Redskins,17,10
Colts,Bills,14,27
Browns,Jets,10,31
Chiefs,Texans,27,20
Saints,Cardinals,19,31
Lions,Chargers,28,33
Ravens,Broncos,13,19
Bengals,Raiders,33,13
Titans,Buccaneers,42,14
Giants,Cowboys,26,27
Eagles,Falcons,24,26
Vikings,49ers,3,20
Broncos,Chiefs,31,24
Texans,Panthers,17,24
Patriots,Bills,40,32
Chargers,Bengals,19,24
Titans,Browns,14,28
Falcons,Giants,24,20
Rams,Redskins,10,24
Cardinals,Bears,48,23
Lions,Vikings,16,26
Buccaneers,Saints,26,19
49ers,Steelers,18,43
Ravens,Raiders,33,37
Dolphins,Jaguars,20,23
Cowboys,Eagles,20,10
Seahawks,Packers,17,27
Jets,Colts,20,7
Redskins,Giants,21,32
Falcons,Cowboys,39,28
Saints,Panthers,22,27
Eagles,Jets,24,17
Buccaneers,Texans,9,19
Chargers,Vikings,14,31
Steelers,Rams,12,6
Jaguars,Patriots,17,51
Bengals,Ravens,28,24
Raiders,Browns,27,20
Colts,Titans,35,33
49ers,Cardinals,7,47
Bears,Seahawks,0,26
Bills,Dolphins,41,14
Broncos,Lions,24,12
Chiefs,Packers,28,38
Ravens,Steelers,23,20
Jets,Dolphins,27,14
Raiders,Bears,20,22
Texans,Falcons,21,48
Chiefs,Bengals,21,36
Jaguars,Colts,13,16
Eagles,Redskins,20,23
Panthers,Buccaneers,37,23
Giants,Bills,24,10
Browns,Chargers,27,30
Packers,49ers,17,3
Rams,Cardinals,24,22
Vikings,Broncos,20,23
Cowboys,Saints,20,26
Lions,Seahawks,10,13
Colts,Texans,27,20
Saints,Eagles,17,39
Bears,Chiefs,18,17
Seahawks,Bengals,24,27
Redskins,Falcons,19,25
Jaguars,Buccaneers,31,38
Browns,Ravens,33,30
Bills,Titans,14,13
Rams,Packers,10,24
Cardinals,Lions,42,17
Patriots,Cowboys,30,6
Broncos,Raiders,16,10
49ers,Giants,27,30
Steelers,Chargers,24,20
Falcons,Saints,21,31
Bears,Lions,34,37
Redskins,Jets,20,34
Cardinals,Steelers,13,25
Chiefs,Vikings,10,16
Bengals,Bills,34,21
Broncos,Browns,26,23
Dolphins,Titans,38,10
Texans,Jaguars,31,20
Panthers,Seahawks,27,23
Chargers,Packers,20,27
Ravens,49ers,20,25
Patriots,Colts,34,27
Giants,Eagles,7,27
Seahawks,49ers,20,3
Bills,Jaguars,31,34
Browns,Rams,6,24
Texans,Dolphins,26,44
Jets,Patriots,23,30
Steelers,Chiefs,13,23
Buccaneers,Redskins,30,31
Vikings,Lions,28,19
Saints,Colts,27,21
Falcons,Titans,10,7
Raiders,Chargers,37,29
Cowboys,Giants,20,27
Eagles,Panthers,16,27
Ravens,Cardinals,18,26
Dolphins,Patriots,7,36
Lions,Chiefs,10,45
Chargers,Ravens,26,29
Bengals,Steelers,16,10
Titans,Texans,6,20
Vikings,Bears,23,20
Buccaneers,Falcons,23,20
Giants,Saints,49,52
49ers,Rams,6,27
Cardinals,Browns,34,20
Jets,Raiders,20,34
Seahawks,Cowboys,13,12
Packers,Broncos,10,29
Colts,Panthers,26,29
Browns,Bengals,10,31
Rams,Vikings,18,21
Packers,Panthers,29,37
Redskins,Patriots,10,27
Titans,Saints,34,28
Dolphins,Bills,17,33
Jaguars,Jets,23,28
Raiders,Steelers,35,38
Giants,Buccaneers,32,18
Falcons,49ers,16,17
Broncos,Colts,24,27
Eagles,Cowboys,33,27
Bears,Chargers,22,19
Bills,Jets,22,17
Saints,Redskins,14,47
Lions,Packers,18,16
Cowboys,Buccaneers,6,10
Panthers,Titans,27,10
Bears,Rams,37,13
Dolphins,Eagles,20,19
Jaguars,Ravens,22,20
Browns,Steelers,9,30
Vikings,Raiders,30,14
Patriots,Giants,27,26
Chiefs,Broncos,29,13
Cardinals,Seahawks,39,32
Texans,Bengals,10,6
Titans,Jaguars,13,19
Broncos,Bears,17,15
Raiders,Lions,13,18
Colts,Falcons,24,21
Jets,Texans,17,24
Buccaneers,Eagles,45,17
Packers,Vikings,30,13
Redskins,Panthers,16,44
Cowboys,Dolphins,24,14
Rams,Ravens,13,16
Bengals,Cardinals,31,34
49ers,Seahawks,13,29
Chiefs,Chargers,33,3
Bills,Patriots,13,20
Eagles,Lions,14,45
Panthers,Cowboys,33,14
Bears,Packers,17,13
Giants,Redskins,14,20
Vikings,Falcons,20,10
Rams,Bengals,7,31
Saints,Texans,6,24
Buccaneers,Colts,12,25
Dolphins,Jets,20,38
Chargers,Jaguars,31,25
Raiders,Titans,24,21
Bills,Chiefs,22,30
Cardinals,49ers,19,13
Steelers,Seahawks,30,39
Patriots,Broncos,24,30
Ravens,Browns,33,27
Packers,Lions,27,23
Jets,Giants,23,20
Texans,Bills,21,30
Ravens,Dolphins,13,15
Bengals,Browns,37,3
Jaguars,Titans,39,42
49ers,Bears,26,20
Seahawks,Vikings,38,7
Panthers,Saints,41,38
Falcons,Buccaneers,19,23
Cardinals,Rams,27,3
Chiefs,Raiders,34,20
Broncos,Chargers,17,3
Eagles,Patriots,35,28
Colts,Steelers,10,45
Cowboys,Redskins,19,16
Vikings,Cardinals,20,23
Bills,Eagles,20,23
Titans,Jets,8,30
Steelers,Bengals,33,20
Patriots,Texans,27,6
Colts,Jaguars,16,51
Chargers,Chiefs,3,10
Redskins,Bears,24,21
Falcons,Panthers,0,38
Saints,Buccaneers,24,17
Lions,Rams,14,21
49ers,Browns,10,24
Raiders,Broncos,15,12
Cowboys,Packers,7,28
Seahawks,Ravens,35,6
Giants,Dolphins,31,24
Buccaneers,Rams,23,31
Jets,Cowboys,19,16
Panthers,Giants,38,35
Cardinals,Eagles,40,17
Bears,Vikings,17,38
Falcons,Jaguars,23,17
Texans,Colts,16,10
Titans,Patriots,16,33
Chiefs,Ravens,34,14
Bills,Redskins,25,35
Browns,Seahawks,13,30
Packers,Raiders,30,20
Broncos,Steelers,27,34
Dolphins,Chargers,14,30
Bengals,49ers,24,14
Lions,Saints,35,27
Chargers,Raiders,20,23
Redskins,Eagles,38,24
Jaguars,Saints,27,38
Colts,Dolphins,18,12
Patriots,Jets,20,26
Texans,Titans,34,6
Browns,Chiefs,13,17
49ers,Lions,17,32
Giants,Vikings,17,49
Panthers,Falcons,13,20
Bears,Buccaneers,26,21
Cowboys,Bills,6,16
Packers,Cardinals,8,38
Rams,Seahawks,23,17
Steelers,Ravens,17,20
Bengals,Broncos,17,20
Jets,Bills,17,22
Patriots,Dolphins,10,20
Ravens,Bengals,16,24
Steelers,Browns,28,12
Jaguars,Texans,6,30
Titans,Colts,24,30
Raiders,Chiefs,17,23
Redskins,Cowboys,34,23
Eagles,Giants,35,30
Lions,Bears,24,20
Vikings,Packers,20,13
Saints,Falcons,20,17
Buccaneers,Panthers,10,38
Chargers,Broncos,20,27
Seahawks,Cardinals,36,6
Rams,49ers,16,19